======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf1.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 21:48:09 =======================================
Parameters: inputFolder : C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
sampRate : 8
featureMode : FrMgPh
channelMode : 0
classificationMode : Speaker
trainingEpoch : 300
stepSize : 1
batchSize : 512
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['sg', 'sk', 'ce', 'yd', 'mb', 'ib', 'eg', 'eb', 'aa', 'by', 'ds', 'my', 'ek', 'ck', 'eo'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for FrMgPh------
---LSTM Classifier---
Train Batch: (2435, 7991, 42)
Test Batch: (609, 7991, 42)
Optimizer: <keras.optimizers.Adam object at 0x000001FF030BE2B0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001FF00968048>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            16136     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 25,131
Trainable params: 25,131
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7155, Accuracy:0.0534, Validation Loss:2.7092, Validation Accuracy:0.0542
Epoch #2: Loss:2.7042, Accuracy:0.0534, Validation Loss:2.6998, Validation Accuracy:0.0903
Epoch #3: Loss:2.6960, Accuracy:0.1199, Validation Loss:2.6929, Validation Accuracy:0.1248
Epoch #4: Loss:2.6893, Accuracy:0.1187, Validation Loss:2.6874, Validation Accuracy:0.1117
Epoch #5: Loss:2.6834, Accuracy:0.1105, Validation Loss:2.6824, Validation Accuracy:0.1034
Epoch #6: Loss:2.6784, Accuracy:0.1031, Validation Loss:2.6781, Validation Accuracy:0.1018
Epoch #7: Loss:2.6741, Accuracy:0.1023, Validation Loss:2.6749, Validation Accuracy:0.1018
Epoch #8: Loss:2.6700, Accuracy:0.1023, Validation Loss:2.6706, Validation Accuracy:0.1018
Epoch #9: Loss:2.6652, Accuracy:0.1023, Validation Loss:2.6668, Validation Accuracy:0.1018
Epoch #10: Loss:2.6602, Accuracy:0.1027, Validation Loss:2.6605, Validation Accuracy:0.1067
Epoch #11: Loss:2.6524, Accuracy:0.1043, Validation Loss:2.6584, Validation Accuracy:0.1018
Epoch #12: Loss:2.6510, Accuracy:0.1031, Validation Loss:2.6536, Validation Accuracy:0.1034
Epoch #13: Loss:2.6417, Accuracy:0.1101, Validation Loss:2.6460, Validation Accuracy:0.1182
Epoch #14: Loss:2.6300, Accuracy:0.1281, Validation Loss:2.6366, Validation Accuracy:0.1117
Epoch #15: Loss:2.6209, Accuracy:0.1154, Validation Loss:2.6306, Validation Accuracy:0.1182
Epoch #16: Loss:2.6050, Accuracy:0.1368, Validation Loss:2.6216, Validation Accuracy:0.1199
Epoch #17: Loss:2.5893, Accuracy:0.1450, Validation Loss:2.6077, Validation Accuracy:0.1264
Epoch #18: Loss:2.5709, Accuracy:0.1405, Validation Loss:2.5966, Validation Accuracy:0.1264
Epoch #19: Loss:2.5517, Accuracy:0.1425, Validation Loss:2.5877, Validation Accuracy:0.1199
Epoch #20: Loss:2.5368, Accuracy:0.1417, Validation Loss:2.5814, Validation Accuracy:0.1232
Epoch #21: Loss:2.5286, Accuracy:0.1400, Validation Loss:2.5735, Validation Accuracy:0.1297
Epoch #22: Loss:2.5219, Accuracy:0.1441, Validation Loss:2.5696, Validation Accuracy:0.1429
Epoch #23: Loss:2.5117, Accuracy:0.1561, Validation Loss:2.5595, Validation Accuracy:0.1494
Epoch #24: Loss:2.5040, Accuracy:0.1713, Validation Loss:2.5552, Validation Accuracy:0.1560
Epoch #25: Loss:2.4979, Accuracy:0.1708, Validation Loss:2.5474, Validation Accuracy:0.1544
Epoch #26: Loss:2.4897, Accuracy:0.1737, Validation Loss:2.5435, Validation Accuracy:0.1494
Epoch #27: Loss:2.4855, Accuracy:0.1721, Validation Loss:2.5447, Validation Accuracy:0.1544
