======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf4.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.31 00:48:36 =======================================
Parameters: inputFolder : C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
sampRate : 8
featureMode : FrMgPh
channelMode : 1
classificationMode : Speaker
trainingEpoch : 300
stepSize : 1
batchSize : 512
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['eb', 'sg', 'eg', 'mb', 'ek', 'yd', 'ds', 'by', 'ib', 'my', 'eo', 'ce', 'aa', 'sk', 'ck'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for FrMgPh------
---LSTM Classifier---
Train Batch: (2435, 7991, 42)
Test Batch: (609, 7991, 42)
Optimizer: <keras.optimizers.Adam object at 0x000001B800200240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001B86C5C7048>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            16136     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 25,131
Trainable params: 25,131
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7028, Accuracy:0.0727, Validation Loss:2.6952, Validation Accuracy:0.0805
Epoch #2: Loss:2.6911, Accuracy:0.0838, Validation Loss:2.6846, Validation Accuracy:0.0739
Epoch #3: Loss:2.6817, Accuracy:0.0883, Validation Loss:2.6757, Validation Accuracy:0.0936
Epoch #4: Loss:2.6731, Accuracy:0.1162, Validation Loss:2.6684, Validation Accuracy:0.1248
Epoch #5: Loss:2.6661, Accuracy:0.1203, Validation Loss:2.6608, Validation Accuracy:0.1117
Epoch #6: Loss:2.6595, Accuracy:0.0817, Validation Loss:2.6547, Validation Accuracy:0.0690
Epoch #7: Loss:2.6522, Accuracy:0.0768, Validation Loss:2.6477, Validation Accuracy:0.0673
Epoch #8: Loss:2.6437, Accuracy:0.0772, Validation Loss:2.6389, Validation Accuracy:0.0690
Epoch #9: Loss:2.6334, Accuracy:0.0780, Validation Loss:2.6288, Validation Accuracy:0.0755
Epoch #10: Loss:2.6219, Accuracy:0.0924, Validation Loss:2.6166, Validation Accuracy:0.0903
Epoch #11: Loss:2.6075, Accuracy:0.1121, Validation Loss:2.6039, Validation Accuracy:0.1002
Epoch #12: Loss:2.5916, Accuracy:0.1138, Validation Loss:2.5915, Validation Accuracy:0.0985
Epoch #13: Loss:2.5765, Accuracy:0.1162, Validation Loss:2.5797, Validation Accuracy:0.1067
Epoch #14: Loss:2.5602, Accuracy:0.1175, Validation Loss:2.5669, Validation Accuracy:0.1117
Epoch #15: Loss:2.5457, Accuracy:0.1211, Validation Loss:2.5624, Validation Accuracy:0.1133
Epoch #16: Loss:2.5401, Accuracy:0.1257, Validation Loss:2.5560, Validation Accuracy:0.1264
Epoch #17: Loss:2.5292, Accuracy:0.1277, Validation Loss:2.5495, Validation Accuracy:0.1297
Epoch #18: Loss:2.5199, Accuracy:0.1470, Validation Loss:2.5474, Validation Accuracy:0.1609
Epoch #19: Loss:2.5150, Accuracy:0.1602, Validation Loss:2.5396, Validation Accuracy:0.1593
Epoch #20: Loss:2.5053, Accuracy:0.1622, Validation Loss:2.5385, Validation Accuracy:0.1609
Epoch #21: Loss:2.4994, Accuracy:0.1598, Validation Loss:2.5349, Validation Accuracy:0.1626
Epoch #22: Loss:2.4958, Accuracy:0.1614, Validation Loss:2.5338, Validation Accuracy:0.1560
Epoch #23: Loss:2.4927, Accuracy:0.1606, Validation Loss:2.5304, Validation Accuracy:0.1691
Epoch #24: Loss:2.4823, Accuracy:0.1700, Validation Loss:2.5254, Validation Accuracy:0.1724
Epoch #25: Loss:2.4795, Accuracy:0.1639, Validation Loss:2.5212, Validation Accuracy:0.1609
Epoch #26: Loss:2.4760, Accuracy:0.1630, Validation Loss:2.5209, Validation Accuracy:0.1593
Epoch #27: Loss:2.4712, Accuracy:0.1622, Validation Loss:2.5198, Validation Accuracy:0.1626
Epoch #28: Loss:2.4698, Accuracy:0.1659, Validation Loss:2.5211, Validation Accuracy:0.1626
Epoch #29: Loss:2.4667, Accuracy:0.1667, Validation Loss:2.5193, Validation Accuracy:0.1593
Epoch #30: Loss:2.4650, Accuracy:0.1659, Validation Loss:2.5104, Validation Accuracy:0.1593
Epoch #31: Loss:2.4586, Accuracy:0.1704, Validation Loss:2.5096, Validation Accuracy:0.1773
Epoch #32: Loss:2.4538, Accuracy:0.1725, Validation Loss:2.5054, Validation Accuracy:0.1593
Epoch #33: Loss:2.4537, Accuracy:0.1647, Validation Loss:2.5048, Validation Accuracy:0.1675
Epoch #34: Loss:2.4498, Accuracy:0.1725, Validation Loss:2.5051, Validation Accuracy:0.1708
Epoch #35: Loss:2.4483, Accuracy:0.1721, Validation Loss:2.5047, Validation Accuracy:0.1757
Epoch #36: Loss:2.4476, Accuracy:0.1745, Validation Loss:2.5017, Validation Accuracy:0.1691
Epoch #37: Loss:2.4459, Accuracy:0.1717, Validation Loss:2.5026, Validation Accuracy:0.1609
Epoch #38: Loss:2.4461, Accuracy:0.1729, Validation Loss:2.5010, Validation Accuracy:0.1773
Epoch #39: Loss:2.4455, Accuracy:0.1713, Validation Loss:2.5007, Validation Accuracy:0.1724
Epoch #40: Loss:2.4437, Accuracy:0.1688, Validation Loss:2.4952, Validation Accuracy:0.1691
Epoch #41: Loss:2.5000, Accuracy:0.1585, Validation Loss:2.5632, Validation Accuracy:0.1379
Epoch #42: Loss:2.5590, Accuracy:0.1458, Validation Loss:2.5753, Validation Accuracy:0.1412
Epoch #43: Loss:2.5257, Accuracy:0.1454, Validation Loss:2.4985, Validation Accuracy:0.1823
Epoch #44: Loss:2.4708, Accuracy:0.1688, Validation Loss:2.5107, Validation Accuracy:0.1494
Epoch #45: Loss:2.4668, Accuracy:0.1671, Validation Loss:2.5290, Validation Accuracy:0.1658
Epoch #46: Loss:2.5193, Accuracy:0.1569, Validation Loss:2.5310, Validation Accuracy:0.1708
Epoch #47: Loss:2.5082, Accuracy:0.1663, Validation Loss:2.5626, Validation Accuracy:0.1346
Epoch #48: Loss:2.4920, Accuracy:0.1622, Validation Loss:2.5228, Validation Accuracy:0.1741
Epoch #49: Loss:2.4660, Accuracy:0.1684, Validation Loss:2.4942, Validation Accuracy:0.1741
Epoch #50: Loss:2.4477, Accuracy:0.1762, Validation Loss:2.4981, Validation Accuracy:0.1757
Epoch #51: Loss:2.4478, Accuracy:0.1717, Validation Loss:2.4992, Validation Accuracy:0.1741
Epoch #52: Loss:2.4451, Accuracy:0.1733, Validation Loss:2.4994, Validation Accuracy:0.1724
Epoch #53: Loss:2.4471, Accuracy:0.1737, Validation Loss:2.5047, Validation Accuracy:0.1560
Epoch #54: Loss:2.4469, Accuracy:0.1741, Validation Loss:2.5031, Validation Accuracy:0.1560
Epoch #55: Loss:2.4471, Accuracy:0.1692, Validation Loss:2.4967, Validation Accuracy:0.1724
Epoch #56: Loss:2.4484, Accuracy:0.1688, Validation Loss:2.4948, Validation Accuracy:0.1708
Epoch #57: Loss:2.4427, Accuracy:0.1721, Validation Loss:2.4958, Validation Accuracy:0.1757
