======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf10.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.31 06:41:07 =======================================
Parameters: inputFolder : C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
sampRate : 8
featureMode : FrMgPh
channelMode : 3
classificationMode : Speaker
trainingEpoch : 300
stepSize : 1
batchSize : 512
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ce', 'mb', 'yd', 'by', 'ib', 'eg', 'ck', 'ek', 'eb', 'eo', 'sg', 'sk', 'ds', 'my', 'aa'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for FrMgPh------
---LSTM Classifier---
Train Batch: (2435, 7991, 42)
Test Batch: (609, 7991, 42)
Optimizer: <keras.optimizers.Adam object at 0x0000023D801E7F98>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000023DA7526048>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            16136     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 25,131
Trainable params: 25,131
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7056, Accuracy:0.0587, Validation Loss:2.6966, Validation Accuracy:0.0821
Epoch #2: Loss:2.6906, Accuracy:0.1060, Validation Loss:2.6821, Validation Accuracy:0.1018
Epoch #3: Loss:2.6790, Accuracy:0.1023, Validation Loss:2.6742, Validation Accuracy:0.1018
Epoch #4: Loss:2.6722, Accuracy:0.1023, Validation Loss:2.6700, Validation Accuracy:0.1018
Epoch #5: Loss:2.6682, Accuracy:0.1023, Validation Loss:2.6636, Validation Accuracy:0.1018
Epoch #6: Loss:2.6613, Accuracy:0.1018, Validation Loss:2.6586, Validation Accuracy:0.1018
Epoch #7: Loss:2.6565, Accuracy:0.1014, Validation Loss:2.6531, Validation Accuracy:0.1034
Epoch #8: Loss:2.6513, Accuracy:0.1027, Validation Loss:2.6471, Validation Accuracy:0.1166
Epoch #9: Loss:2.6448, Accuracy:0.1199, Validation Loss:2.6403, Validation Accuracy:0.1363
Epoch #10: Loss:2.6375, Accuracy:0.1290, Validation Loss:2.6320, Validation Accuracy:0.1363
Epoch #11: Loss:2.6290, Accuracy:0.1331, Validation Loss:2.6255, Validation Accuracy:0.1379
Epoch #12: Loss:2.6211, Accuracy:0.1372, Validation Loss:2.6128, Validation Accuracy:0.1593
Epoch #13: Loss:2.6068, Accuracy:0.1639, Validation Loss:2.5987, Validation Accuracy:0.1478
Epoch #14: Loss:2.5917, Accuracy:0.1598, Validation Loss:2.5835, Validation Accuracy:0.1494
Epoch #15: Loss:2.5773, Accuracy:0.1606, Validation Loss:2.5724, Validation Accuracy:0.1494
Epoch #16: Loss:2.5635, Accuracy:0.1573, Validation Loss:2.5605, Validation Accuracy:0.1461
Epoch #17: Loss:2.5478, Accuracy:0.1552, Validation Loss:2.5539, Validation Accuracy:0.1461
Epoch #18: Loss:2.5367, Accuracy:0.1552, Validation Loss:2.5422, Validation Accuracy:0.1511
Epoch #19: Loss:2.5272, Accuracy:0.1585, Validation Loss:2.5345, Validation Accuracy:0.1527
Epoch #20: Loss:2.5170, Accuracy:0.1630, Validation Loss:2.5274, Validation Accuracy:0.1544
Epoch #21: Loss:2.5316, Accuracy:0.1630, Validation Loss:2.5387, Validation Accuracy:0.1576
Epoch #22: Loss:2.5177, Accuracy:0.1602, Validation Loss:2.5247, Validation Accuracy:0.1642
Epoch #23: Loss:2.5082, Accuracy:0.1618, Validation Loss:2.5167, Validation Accuracy:0.1527
Epoch #24: Loss:2.4995, Accuracy:0.1606, Validation Loss:2.5143, Validation Accuracy:0.1642
Epoch #25: Loss:2.4940, Accuracy:0.1680, Validation Loss:2.5126, Validation Accuracy:0.1544
Epoch #26: Loss:2.4889, Accuracy:0.1655, Validation Loss:2.5053, Validation Accuracy:0.1708
Epoch #27: Loss:2.4866, Accuracy:0.1688, Validation Loss:2.5071, Validation Accuracy:0.1658
